ID,Number,From,To,WaitToBoard,TotalTime
328,5,6,3,80,102
329,1,3,6,3,23
331,4,6,1,19,56
332,2,2,1,44,55
330,2,2,3,68,78
333,2,3,1,3,24
338,2,2,1,4,15
335,1,1,2,21,34
340,1,1,2,13,26
334,4,1,4,22,53
341,2,1,4,12,42
339,3,1,6,15,67
343,4,2,6,20,58
337,6,4,6,48,68
336,5,3,1,89,114
342,6,2,1,93,107
345,2,2,1,8,18
346,2,1,2,17,33
348,2,1,2,12,28
350,3,1,2,6,22
351,4,2,4,22,46
344,5,3,4,47,60
349,6,1,6,8,65
347,6,3,5,92,109
354,1,4,3,13,23
361,3,3,2,2,12
352,4,5,1,3,46
357,2,1,3,36,52
356,4,1,4,40,70
355,3,3,4,60,73
360,1,4,5,56,66
353,1,3,6,63,97
358,4,6,5,84,96
359,2,4,1,102,122
362,3,1,2,3,13
363,2,6,3,37,57
364,5,1,2,13,27
372,4,3,4,24,36
368,2,1,5,3,52
369,5,1,5,3,52
371,1,4,5,38,50
367,6,6,3,66,91
365,5,6,2,72,108
366,4,6,1,68,115
370,4,1,4,109,131
373,6,2,3,13,26
375,2,2,6,5,38
374,2,6,1,43,79
380,2,4,1,46,67
377,5,1,2,70,84
376,2,1,4,72,101
378,5,1,6,70,115
381,5,1,4,142,166
379,6,1,6,144,190
389,3,5,6,11,23
384,1,6,5,33,44
390,1,6,5,24,35
383,3,5,3,48,69
391,3,6,1,21,71
385,5,4,1,52,80
392,3,1,2,70,82
382,5,1,3,89,115
386,2,2,3,90,103
387,2,2,3,88,101
388,5,4,1,111,133
394,4,1,2,3,15
393,4,2,6,16,54
396,5,5,6,35,52
397,1,5,6,35,52
400,5,5,6,25,42
398,5,5,1,59,99
399,4,3,1,71,95
395,3,2,1,90,103
401,3,1,6,3,39
402,2,5,6,25,36
408,5,6,5,23,35
403,4,5,3,46,63
404,3,2,1,71,81
409,1,1,4,73,97
406,4,1,5,79,114
405,6,1,6,81,128
407,2,1,6,77,124
410,5,1,6,150,184
411,2,1,6,146,180
419,1,4,2,0,16
412,3,4,1,17,43
414,4,1,2,37,51
418,1,1,2,29,43
415,4,3,4,58,70
416,6,1,6,32,90
421,3,5,6,69,81
413,5,6,5,99,111
417,4,5,1,102,129
420,5,1,3,125,142
422,3,5,6,13,23
424,6,5,1,25,58
426,3,2,1,43,55
423,2,2,5,72,92
425,1,2,6,66,96
427,4,1,2,28,40
429,1,1,3,22,45
428,1,2,6,38,68
430,4,6,1,66,104
431,3,2,1,89,101
439,4,6,5,17,32
432,6,6,2,28,64
434,3,6,1,24,70
441,2,1,2,59,73
437,4,1,4,66,97
436,2,2,5,83,111
433,3,4,5,106,117
435,3,1,6,71,126
440,5,1,6,60,115
438,5,2,5,145,167
445,4,1,2,13,27
444,2,2,4,32,47
443,4,1,5,19,61
446,2,4,5,40,51
442,2,1,6,23,75
447,6,5,6,8,20
451,5,1,2,42,56
450,1,2,4,60,82
449,4,3,4,71,83
448,5,1,5,47,95
456,3,1,3,16,40
452,1,1,4,23,57
457,2,1,5,16,60
458,5,1,6,13,69
453,4,2,6,33,76
455,6,3,1,92,115
454,2,2,1,107,119
460,3,1,5,3,28
459,3,2,1,48,58
461,4,1,2,3,17
464,3,1,3,0,26
463,4,1,4,1,39
465,1,2,6,11,52
466,6,2,6,11,52
469,2,4,6,28,45
470,2,3,2,61,71
462,3,2,1,90,102
468,2,2,1,76,88
467,2,1,3,92,107
474,2,1,2,8,19
471,3,1,3,13,35
475,3,2,4,20,40
473,1,6,1,56,93
472,4,2,1,81,93
477,3,1,2,1,13
478,2,1,2,1,13
476,1,1,6,3,40
479,6,1,3,28,45
480,1,3,6,46,66
481,2,3,2,18,28
487,6,2,1,11,27
488,6,2,1,7,23
483,4,1,3,41,59
482,3,1,5,42,81
485,4,4,6,62,84
484,2,4,2,102,117
489,4,6,5,23,36
491,2,6,5,22,35
493,2,6,1,18,62
495,2,2,1,46,57
490,4,1,2,67,82
492,4,1,4,65,96
496,2,1,5,58,99
494,4,1,6,60,112
497,3,1,2,140,152
498,4,1,6,139,177
499,1,3,1,18,42
500,3,2,1,27,41
501,5,2,1,27,41
503,4,2,5,44,73
502,5,4,5,63,76
504,4,4,1,80,102
141,6,6,1,75,-1
142,5,6,1,75,-1
486,2,4,1,75,-1
