ID,Number,From,To,WaitToBoard,TotalTime
200,2,4,6,11,37
205,2,4,6,3,24
203,1,1,2,71,88
201,5,1,3,76,110
204,4,1,3,68,102
206,1,1,5,66,121
202,3,2,6,91,142
207,1,6,5,4,18
208,2,6,1,0,49
209,4,6,1,39,92
210,2,6,1,39,92
211,4,3,1,64,88
212,2,4,6,116,137
214,3,1,2,38,54
216,6,2,3,53,70
222,2,2,4,45,76
215,1,1,5,36,98
213,4,1,6,39,116
217,1,1,6,36,112
221,3,6,1,107,168
220,3,5,1,124,171
218,5,2,1,154,173
219,3,2,1,154,173
226,3,1,2,1,17
223,1,1,4,4,46
225,1,1,4,3,40
227,5,1,5,0,52
224,1,5,6,58,72
228,4,6,1,65,108
233,2,1,2,0,14
231,3,1,3,2,32
229,4,1,6,4,62
230,3,6,1,63,116
232,3,6,1,59,112
234,4,2,1,90,107
235,1,1,3,4,25
236,3,3,1,26,47
237,5,3,1,18,51
243,3,3,1,4,37
240,4,2,1,29,46
244,4,1,4,34,71
241,3,1,6,46,105
242,1,3,6,65,101
238,1,5,3,122,143
246,2,6,3,23,69
253,5,6,2,9,72
251,1,5,2,33,78
250,1,4,2,50,81
245,5,6,1,25,104
249,2,6,1,18,97
248,5,3,1,69,101
252,4,1,2,92,107
247,5,3,5,132,155
254,3,5,6,139,153
257,4,2,1,30,45
256,2,1,2,47,62
258,3,1,3,44,75
255,5,2,6,66,110
259,2,2,6,32,76
260,4,5,6,60,76
262,2,5,3,86,107
261,3,1,3,130,153
263,5,1,6,127,179
265,4,1,2,39,55
264,4,1,6,39,90
269,2,1,2,33,52
270,1,1,5,30,79
271,5,1,5,26,75
272,2,1,5,25,74
273,3,1,5,22,70
266,2,1,6,39,102
267,2,1,6,39,102
268,1,3,2,133,147
275,6,3,1,11,34
276,1,1,2,33,47
277,3,5,2,73,101
278,3,4,1,18,49
279,5,4,1,14,45
280,4,1,6,46,89
283,2,6,1,83,134
282,3,5,1,99,136
284,1,5,1,97,134
285,1,5,6,32,46
293,3,6,1,28,87
290,5,3,1,65,96
287,2,2,1,86,102
288,2,1,3,99,129
289,6,3,5,128,159
291,3,4,5,141,157
286,3,2,6,117,181
292,6,2,6,105,169
296,5,1,2,37,57
297,3,1,2,36,56
294,6,1,5,39,89
298,4,1,5,36,86
299,2,6,2,99,142
295,4,5,1,115,158
300,5,1,2,154,170
304,4,2,6,1,37
302,3,3,2,68,85
305,5,3,2,64,81
301,5,1,2,101,122
303,2,1,2,99,120
307,6,1,3,93,129
308,4,1,5,91,148
306,3,1,6,93,164
309,2,4,5,18,32
311,6,5,2,28,58
310,3,1,6,76,118
312,5,4,6,18,52
313,4,4,6,15,49
317,5,5,6,21,39
318,4,6,3,40,71
319,1,6,2,36,84
316,5,6,1,40,104
320,3,3,1,68,100
322,4,3,1,62,94
314,4,1,5,112,156
315,4,1,6,109,168
321,2,4,6,127,156
323,6,6,1,4,55
325,2,2,1,37,52
326,2,1,2,51,67
327,6,1,5,48,100
324,2,4,5,90,105
328,5,6,3,111,141
329,1,3,6,4,32
331,4,6,1,28,79
332,2,2,1,63,78
330,2,2,3,95,109
333,2,3,1,4,36
338,2,2,1,9,27
342,6,2,1,3,21
335,1,1,2,33,50
340,1,1,2,25,42
334,4,1,4,34,75
341,2,1,4,24,64
339,3,1,6,27,94
343,4,2,6,36,85
337,6,4,6,70,95
336,5,3,1,124,147
345,2,2,1,11,25
346,2,1,2,24,43
348,2,1,2,19,38
350,3,1,2,13,32
351,4,2,4,32,64
344,5,3,4,61,78
349,6,1,6,15,89
347,6,3,5,124,147
354,1,4,3,18,32
361,3,3,2,11,25
352,4,5,1,4,63
359,2,4,1,0,44
357,2,1,3,53,75
356,4,1,4,57,96
355,3,3,4,83,99
360,1,4,5,82,96
353,1,3,6,86,131
358,4,6,5,118,133
362,3,1,2,32,46
363,2,6,3,80,108
364,5,1,2,18,38
370,4,1,4,7,57
372,4,3,4,39,55
368,2,1,5,8,74
369,5,1,5,8,74
371,1,4,5,57,72
367,6,6,3,92,125
365,5,6,2,98,146
366,4,6,1,94,156
373,6,2,3,11,28
375,2,2,6,3,48
374,2,6,1,53,102
380,2,4,1,62,90
377,5,1,2,93,113
376,2,1,4,95,136
378,5,1,6,93,157
379,6,1,6,92,156
383,3,5,3,15,46
385,5,4,1,23,63
388,5,4,1,17,57
392,3,1,2,53,71
382,5,1,3,72,108
386,2,2,3,79,96
387,2,2,3,77,94
381,5,1,4,223,274
389,3,5,6,123,137
390,1,6,5,138,153
391,3,6,1,135,185
394,4,1,2,7,22
393,4,2,6,23,72
396,5,5,6,50,70
397,1,5,6,50,70
400,5,5,6,40,60
398,5,5,1,81,134
399,4,3,1,99,130
395,3,2,1,122,138
401,3,1,6,4,54
402,2,5,6,36,51
408,5,6,5,38,54
403,4,5,3,65,87
404,3,2,1,99,113
409,1,1,4,105,139
406,4,1,5,111,159
405,6,1,6,113,178
407,2,1,6,109,174
410,5,1,6,105,170
411,2,1,6,101,166
419,1,4,2,1,23
412,3,4,1,18,54
414,4,1,2,48,68
418,1,1,2,40,60
420,5,1,3,36,71
415,4,3,4,81,96
416,6,1,6,43,123
413,5,6,5,132,148
417,4,5,1,139,175
422,3,5,6,32,46
424,6,5,1,52,97
426,3,2,1,78,94
423,2,2,5,115,143
425,1,2,6,109,151
427,4,1,2,39,54
429,1,1,3,33,63
428,1,2,6,52,94
430,4,6,1,92,143
431,3,2,1,125,140
439,4,6,5,28,46
432,6,6,2,39,86
434,3,6,1,35,96
441,2,1,2,85,103
437,4,1,4,92,134
436,2,2,5,113,153
438,5,2,5,110,150
433,3,4,5,143,159
435,3,1,6,97,171
440,5,1,6,86,160
445,4,1,2,29,46
444,2,2,4,51,72
443,4,1,5,35,90
446,2,4,5,65,80
442,2,1,6,39,108
447,6,5,6,11,27
451,5,1,2,61,79
450,1,2,4,83,113
449,4,3,4,98,114
448,5,1,5,66,130
456,3,1,3,25,57
452,1,1,4,32,78
457,2,1,5,25,85
458,5,1,6,22,98
453,4,2,6,46,105
455,6,3,1,129,159
454,2,2,1,148,163
460,3,1,5,4,39
459,3,2,1,67,81
461,4,1,2,4,21
464,3,1,3,0,34
463,4,1,4,2,50
465,1,2,6,15,69
466,6,2,6,15,69
469,2,4,6,39,62
470,2,3,2,86,100
462,3,2,1,119,135
468,2,2,1,105,121
467,2,1,3,125,146
474,2,1,2,13,28
471,3,1,3,18,48
475,3,2,4,29,57
473,1,6,1,79,130
472,4,2,1,114,130
477,3,1,2,2,18
478,2,1,2,2,18
476,1,1,6,4,55
479,6,1,3,39,62
480,1,3,6,63,91
481,2,3,2,25,39
487,6,2,1,22,41
488,6,2,1,18,37
483,4,1,3,55,78
482,3,1,5,56,108
485,4,4,6,85,114
484,2,4,2,138,159
489,4,6,5,32,49
491,2,6,5,31,48
493,2,6,1,27,86
495,2,2,1,67,81
490,4,1,2,91,111
497,3,1,2,82,102
492,4,1,4,89,130
496,2,1,5,82,137
494,4,1,6,84,153
500,3,2,1,5,22
501,5,2,1,5,22
503,4,2,5,31,70
502,5,4,5,56,73
498,4,1,6,203,271
504,4,4,1,102,139
499,1,3,1,128,150
43,3,6,1,75,-1
64,4,5,1,75,-1
73,1,4,1,75,-1
133,4,6,1,75,-1
239,6,4,5,75,-1
274,6,5,1,75,-1
281,3,6,5,75,-1
384,1,6,5,75,-1
421,3,5,6,75,-1
486,2,4,1,75,-1
