ID,Number,From,To,WaitToBoard,TotalTime
0,3,6,5,39,55
1,6,6,3,39,85
9,4,4,1,50,87
3,4,1,2,101,117
8,2,1,3,93,122
2,1,1,5,105,158
4,1,1,5,98,151
7,3,3,5,124,146
5,1,5,6,151,167
6,4,5,6,147,163
10,1,5,6,11,28
12,1,5,6,6,23
14,6,5,6,3,20
11,3,6,1,28,70
13,4,1,6,67,110
16,5,4,2,18,41
15,3,2,6,42,77
17,2,5,1,11,54
22,3,3,1,22,44
24,6,1,2,42,63
23,2,1,3,45,83
21,4,2,3,71,87
19,6,1,4,52,106
25,1,1,5,39,107
18,3,3,5,94,123
20,4,1,6,49,131
26,3,2,4,32,55
29,4,2,6,24,72
30,6,4,6,46,70
28,6,1,2,118,136
27,6,1,3,118,151
31,2,5,6,18,34
32,3,5,6,14,30
36,1,6,2,25,78
35,4,6,1,26,98
37,5,6,1,24,96
41,2,6,1,15,87
34,6,4,1,52,100
40,3,1,6,92,144
33,6,3,6,125,156
39,4,3,1,172,204
38,5,2,1,189,206
45,3,1,6,32,83
44,5,5,6,68,84
42,4,6,3,89,118
47,4,1,2,18,33
46,2,2,5,34,62
50,1,1,6,14,73
48,2,5,6,61,75
49,3,2,1,110,124
51,6,1,2,4,20
56,2,2,5,8,45
53,5,4,5,39,55
54,2,5,6,52,66
52,5,4,1,92,129
55,2,3,1,99,121
57,5,1,5,117,154
58,6,1,6,32,87
63,5,1,6,22,77
66,2,3,6,36,67
60,4,6,2,81,133
59,1,6,1,85,155
62,2,6,1,79,149
61,4,3,1,116,149
65,5,2,1,124,141
70,3,1,2,0,16
68,5,1,4,4,51
69,2,3,5,34,64
67,3,1,6,4,80
74,2,3,6,21,66
75,5,6,5,64,81
76,4,4,3,91,106
72,2,6,2,72,132
71,2,4,2,103,132
80,3,1,2,4,22
78,1,1,4,8,47
77,4,1,6,11,73
79,5,1,6,8,70
81,5,4,2,83,106
82,4,1,4,11,40
83,1,6,2,59,110
85,3,4,2,83,105
84,4,5,1,69,124
86,2,4,1,81,121
87,5,2,1,101,118
88,3,1,2,4,21
91,4,1,2,3,20
90,2,1,4,3,49
89,6,3,5,35,65
92,2,4,1,76,104
93,4,3,6,18,47
95,3,6,5,40,54
96,5,1,2,89,109
94,6,1,4,93,136
97,6,1,4,89,132
99,1,1,2,157,175
100,5,1,2,153,171
98,6,1,5,160,207
103,2,6,1,28,70
101,2,1,2,74,88
102,1,1,3,73,101
104,4,1,2,18,38
109,4,1,2,10,30
106,3,1,3,13,47
105,2,1,4,17,65
107,5,1,5,12,77
111,6,4,6,54,87
110,3,5,6,72,88
108,6,6,2,95,132
116,4,1,2,1,19
113,3,1,4,8,47
115,4,1,5,5,60
112,4,1,6,11,82
114,5,4,6,48,79
117,6,5,6,11,27
121,4,3,1,48,79
122,3,2,1,61,77
126,1,2,1,54,70
119,2,1,2,85,104
124,1,1,3,75,109
123,3,2,3,98,112
118,5,1,4,85,134
120,6,1,5,81,147
127,2,1,6,72,152
125,4,4,6,123,154
131,4,1,2,33,53
134,4,1,2,30,50
132,3,1,4,32,73
128,1,1,6,40,106
135,6,1,6,30,96
136,4,4,6,68,92
129,2,6,2,105,141
130,2,6,1,103,153
139,3,4,5,15,29
137,3,1,6,143,202
138,5,1,6,139,198
143,3,6,5,34,52
141,6,6,1,38,110
142,5,6,1,38,110
146,1,6,1,26,98
140,1,3,1,81,114
147,6,2,1,75,94
145,6,2,5,116,153
144,2,3,6,135,171
149,3,6,5,4,18
152,3,1,2,48,65
155,5,1,3,39,74
153,2,2,3,62,79
151,4,1,5,49,113
150,6,2,6,68,130
148,4,4,6,102,133
154,5,2,5,155,185
159,2,1,2,44,59
157,4,1,3,45,77
156,3,2,5,64,109
160,2,4,5,88,103
158,6,2,6,61,121
164,2,1,2,36,57
167,3,1,2,30,51
165,3,1,3,35,70
166,6,1,4,31,81
161,2,1,5,39,103
163,3,1,6,36,114
168,1,6,5,108,122
162,4,2,1,158,173
170,6,1,3,162,193
169,2,1,4,162,207
171,3,2,6,13,63
172,5,5,1,77,114
173,5,1,3,4,36
174,2,1,4,0,46
176,4,2,6,13,64
180,6,4,3,86,102
177,5,6,1,64,136
178,3,6,1,64,136
179,6,6,1,64,136
175,2,2,1,122,139
181,2,1,5,131,166
182,1,6,1,20,71
184,4,6,1,15,66
186,2,2,1,48,63
185,3,1,2,65,82
183,4,1,3,68,101
189,3,1,4,64,113
188,6,2,4,82,113
187,2,5,6,127,141
194,2,3,2,16,31
190,3,3,1,25,58
193,6,2,1,33,50
191,5,1,2,57,77
197,5,1,2,43,63
199,1,1,2,38,58
196,4,1,3,44,80
198,6,2,5,62,99
195,3,5,6,105,119
192,1,5,3,140,161
